Total,Orange,Brown
10,3,7
11,4,7
10,6,4
9,4,5
7,4,3
10,3,7
11,5,6
10,4,6
10,7,3
12,4,8
9,6,3
11,4,7
10,5,5
8,6,2
10,3,7
10,5,5
10,4,6
10,7,3
12,6,6
10,4,6
7,5,2
9,5,4
11,5,6
11,6,5
11,3,8
10,5,5
8,6,2
11,4,7
11,5,6
9,4,5
10,5,5
7,2,5
9,6,3
10,4,6
10,5,5
10,3,7
11,5,6
11,6,5
11,4,7
10,5,5
10,6,4
10,4,6
10,5,5
11,5,6
12,5,7
10,5,5
11,5,6
12,6,6
9,4,5
10,5,5
11,6,5
11,4,7
11,5,6
11,4,7
8,5,3
11,5,6
11,3,8
10,5,4
9,6,3
10,5,5
10,4,6